"No","種別","種類","レベル","言語活動","カテゴリー","第1トピック","JF Can-do (日本語)","JF Can-do (English)"
"229","JF","活動","B2","やりとり","インフォーマルな場面でやりとりをする","仕事と職業","Can take part in a lively discussion by expressing one's opinion while giving evidence and arguing against others' opinions, when talking about the pros and cons of flexible working hours with colleagues, for example, during break time at work.",""
"230","JF","活動","B2","やりとり","インフォーマルな場面でやりとりをする","健康","Can engage in an animated discussion with friends or family while stating one's opinion and reasoning, countering others' opinions, etc. about, for example, the effects and problems of a currently popular dieting method.",""
"231","JF","活動","B2","やりとり","インフォーマルな場面でやりとりをする","自然と環境","Can express one's opinion by giving reasons, and respond accurately to others' opinions, when discussing recent topics related to environmental and energy problems with friends and family.",""
"232","JF","活動","B2","やりとり","インフォーマルな場面でやりとりをする","人との関係","Can understand the flow of the discussion and the points of each different opinion, explain one's ideas and reasoning, respond to opposing opinions, etc., when talking with coworkers during break time at work, for example, about the new employees' clothing or behavior.",""
"233","JF","活動","B2","やりとり","インフォーマルな場面でやりとりをする","学校と教育","Can listen to colleagues' questions and opinions about the content or style of one's research presentation, accurately understand the main points, respond to them appropriately, and explain points one was unable to cover sufficiently, etc. at a ""job well done"" party with fellow researchers following the presentation.",""
"234","JF","活動","B2","やりとり","インフォーマルな場面でやりとりをする","言語と文化","Can understand the flow of the discussion and the main points of each different idea, and articulate one's own idea while explaining the reasoning and forming hypotheses, when discussing with friends about, for example, the differences in one's sense of time compared to that of another friend who always arrives late",""
"235","JF","活動","B1","やりとり","インフォーマルな場面でやりとりをする","自分と家族","Can explain to another friend with a certain degree of detail the situation and one's feelings, and try to come up with a solution, when a problem occurs such as things not going well with a friend.",""
"236","JF","まるごと","活動","B1","やりとり","インフォーマルな場面でやりとりをする","映画やドラマなどの内容について、友人や家族と簡単なコメントや意見を交換することができる。",""
"237","JF","活動","B1","やりとり","インフォーマルな場面でやりとりをする","自由時間と娯楽","Can give one's opinions and accommodate other people's opinions while discussing in destinations, time to meet, etc. to go cycling with friends on the weekend.",""
"238","JF","まるごと","活動","B1","やりとり","インフォーマルな場面でやりとりをする","友人と、祭りやイベントなどの後で、印象に残ったところや感想を、ある程度詳しく述べ合うことができる。",""
"240","JF","まるごと","活動","B1","やりとり","インフォーマルな場面でやりとりをする","友人と、好きな音楽のジャンルやアーティストなどについて、どこがいいか自分の考えを話したり、相手の話に対して簡単なコメントや意見を述べたりすることができる。",""
"241","JF","まるごと","活動","B1","やりとり","インフォーマルな場面でやりとりをする","友人と、好きなマンガやアニメなどについて、どこがいいか自分の考えを話したり、相手の話に対して、簡単なコメントや意見を述べたりすることができる。",""
"546","JF","まるごと","活動","B1","やりとり","インフォーマルな場面でやりとりをする","友人を誘うために、イベントの内容や見どころをある程度詳しく説明したり、理由や気持ちを交えて誘いに答えたりすることができる。",""
"242","JF","まるごと","活動","B1","やりとり","インフォーマルな場面でやりとりをする","友人と外出や旅行をするために、行き先や日程などについて、自分の意見を述べたり他の人の意見を調整したりしながら話し合うことができる。",""
"593","JF","まるごと","活動","B1","やりとり","インフォーマルな場面でやりとりをする","友人と、よく知られている健康法などについて、どこがいいか自分の考えを話したり、相手の話に対して、簡単なコメントや意見を述べたりすることができる。",""
"243","JF","活動","B1","やりとり","インフォーマルな場面でやりとりをする","自然と環境","Can make simple comments or exchange opinions with friends and family about the contents of a television program on environmental issues, for example.",""
"244","JF","活動","B1","やりとり","インフォーマルな場面でやりとりをする","人との関係","Can give one's opinions and accommodate other people's opinions while discussing what to buy, how much to spend, etc. to buy a birthday present for a mutual friend.",""
"245","JF","活動","B1","やりとり","インフォーマルな場面でやりとりをする","人との関係","Can explain the situation in some detail and make a complaint when a problem, such as loud noises by a next-door neighbor, occurs.",""
"246","JF","まるごと","活動","B1","やりとり","インフォーマルな場面でやりとりをする","友人とお互いの異文化体験について原因や背景などを話したり、意見を交換したりすることができる。",""
"594","JF","まるごと","活動","B1","やりとり","インフォーマルな場面でやりとりをする","日本語交流サークルなどで、関心のある日本の文化や歴史などについて、どこがおもしろいか自分の考えを話したり、相手の話に対して、簡単なコメントや意見を述べたりすることができる。",""
"547","JF","まるごと","活動","B1","やりとり","インフォーマルな場面でやりとりをする","友人と、スポーツ、文化、語学など趣味の教室に参加した後で、印象に残ったところや感想を、ある程度詳しく述べ合うことができる。",""
"498","JF","まるごと","活動","A2","やりとり","インフォーマルな場面でやりとりをする","友人と雑誌などを見ながら、人の外見や印象などについて、短い簡単な言葉でコメントや質問をしたり、質問に答えたりすることができる。",""
"548","JF","まるごと","活動","A2","やりとり","インフォーマルな場面でやりとりをする","友人に、これから住みたいところやその理由などについて、短い簡単な言葉でコメントや質問をしたり、質問に答えたりすることができる。",""
"247","JF","活動","A2","やりとり","インフォーマルな場面でやりとりをする","自由時間と娯楽","Can discuss in short simple terms what movie to see at what time, etc. to go see a movie with friends on the weekend.",""
"248","JF","まるごと","活動","A2","やりとり","インフォーマルな場面でやりとりをする","友人と週末サイクリングに行くために、行き先や待ち合わせ時間などについて、短い簡単な言葉で話し合うことができる。",""
"549","JF","まるごと","活動","A2","やりとり","インフォーマルな場面でやりとりをする","友人を誘うために、イベントの日時を伝え、一緒に行くかどうか、短い簡単な言葉でたずねたり、誘いに答えたりすることができる。",""
"250","JF","活動","A2","やりとり","インフォーマルな場面でやりとりをする","自由時間と娯楽","Can make comments, and ask and answer questions in short simple terms about the good points after a concert, exhibition, etc. with a friend.",""
"499","JF","活動","A2","やりとり","インフォーマルな場面でやりとりをする","自由時間と娯楽","Can ask a friend questions and / or answer questions and make comments in short simple terms about a famous person one likes, such as who one likes and what one likes about him / her.",""
"251","JF","活動","A2","やりとり","インフォーマルな場面でやりとりをする","旅行と交通","Can discuss in short simple terms destinations, time schedules, etc. to go out or go on a trip with friends.",""
"500","JF","まるごと","活動","A2","やりとり","インフォーマルな場面でやりとりをする","友人に、ネットショッピングを利用するか、しないか、その理由などについて、短い簡単な言葉でコメントや質問をしたり、質問に答えたりすることができる。",""
"501","JF","まるごと","活動","A2","やりとり","インフォーマルな場面でやりとりをする","買い物をするために、ネットショッピングのサイトを見ながら、商品をどう思うか、他の商品と比べてどちらがいいと思うかなど、友人と短い簡単な言葉で話し合うことができる。",""
"502","JF","まるごと","活動","A2","やりとり","インフォーマルな場面でやりとりをする","友人とお花見をするために、飲み物や食べ物は何を持っていくかについて、短い簡単な言葉で話し合うことができる。",""
"252","JF","まるごと","活動","A2","やりとり","インフォーマルな場面でやりとりをする","環境問題のテレビ番組などをきっかけに、関連のある生活習慣などについて、短い簡単な言葉で友人や家族にコメントや質問をしたり、答えたりすることができる。",""
"253","JF","まるごと","活動","A2","やりとり","インフォーマルな場面でやりとりをする","友人と、共通の友人の誕生日プレゼントを買うために、買う物や予算などについて、短い簡単な言葉で話し合うことができる。",""
"254","JF","活動","A2","やりとり","インフォーマルな場面でやりとりをする","言語と文化","Can comment, and ask or answer questions in short simple terms to friends about, for example, one another's intercultural experiences.",""
"255","JF","活動","B2","やりとり","フォーマルな場面で議論する","仕事と職業","Can understand the main points of an animated discussion, and accurately state one's position, opinion, etc. and their reasoning about a topic on the meeting agenda, such as the development of a new product, during a planning meeting etc. at one's workplace.",""
"256","JF","活動","B2","やりとり","フォーマルな場面で議論する","仕事と職業","Can understand the main points of the other judges' lively discussion and clearly express one's opinion by giving evidence, when there is a conflict of opinions over who should win, for example, on a judges' panel for a speech contest.",""
"257","JF","活動","B2","やりとり","フォーマルな場面で議論する","学校と教育","Can understand an animated discussion and accurately state one's position, opinion, etc. and their reasoning about a topic on the meeting agenda, such as renting cooking utencils at a campsite, during for example a parents' meeting at the school one's child goes to.",""
"258","JF","活動","B2","やりとり","フォーマルな場面で議論する","社会","Can understand the main points of participants' lively discussion and accurately state one's own position and opinion by giving evidence, at a neighbourhood association meeting, meeting for residents of a block of flats, etc. on the subject of the construction of a large supermarket.",""
"259","JF","活動","B1","やりとり","フォーマルな場面で議論する","住まいと住環境","Can participate in a discussion during a community meeting, a meeting of apartment owners etc. by understanding the outlines of the topic, such as an upcoming event, confirming the facts, and expressing one's opinion.",""
"260","JF","活動","B1","やりとり","フォーマルな場面で議論する","仕事と職業","Can participate in a discussion during a regular meeting at one's workplace by understanding the outlines of the topic, such as the development of a new product, confirming the facts, and expressing one's opinion.",""
"261","JF","活動","B1","やりとり","フォーマルな場面で議論する","仕事と職業","Can take part in a discussion by raising important points and making suggestions for improvements next time, for example, at a debriefing meeting after an event.",""
"262","JF","活動","B1","やりとり","フォーマルな場面で議論する","仕事と職業","Can understand an outline of the main points discussed regarding the theme, programme consultation, etc., check facts and express one's opinion, in order to take part in a discussionin on a research society's executive committee.",""
"263","JF","活動","B1","やりとり","フォーマルな場面で議論する","仕事と職業","Can take part in a discussion by mentioning good points and problems, and making suggestions for improvements next time, for example, at a debriefing after a demonstration lesson.",""
"264","JF","活動","B1","やりとり","フォーマルな場面で議論する","自然と環境","Can participate in a discussion at a workshop about things one can do at home to counter global warming by, for example, introducing one's own efforts and proposing many other solutions.",""
"265","JF","活動","A2","やりとり","フォーマルな場面で議論する","住まいと住環境","Can answer simple questions aimed directly at oneself about one's cleaning duties of a garbage collection site, etc., and express one's thoughts or agreement with help from others during, for example, a community meeting or a meeting of apartment owners.",""
"266","JF","活動","A2","やりとり","フォーマルな場面で議論する","仕事と職業","Can answer simple questions aimed directly at oneself about the current situation, plans, etc. of one's assignment, and express one's thoughts or agreement with help from others during a regular meeting at one's workplace.",""
"267","JF","活動","A2","やりとり","フォーマルな場面で議論する","仕事と職業","Can answer simple questions aimed directly at oneself about good points, bad points, etc. at a debriefing meeting after an event.",""
"268","JF","活動","A2","やりとり","フォーマルな場面で議論する","仕事と職業","Can present one's ideas in simple terms such as ""That was a good idea"" and ""The font should be bigger"" if one is asked directly for comments at a meeting to share opinions after a demonstration lesson.",""
"269","JF","活動","A2","やりとり","フォーマルな場面で議論する","自然と環境","Can answer simple questions aimed directly at oneself about one's efforts, and express one's thoughts or agreement with help from others during, for example, a workshop about things one can do at home to counter global warming.",""
"270","JF","活動","B2","やりとり","共同作業中にやりとりをする","仕事と職業","Can compare work procedures and ways of dividing responsibilities about the layout of the exhibition, procedures in explanations, etc. while making predictions about the day, and state clearly the advantages and disadvantage of each, for example, when preparing for an event such as a trade fair or exhibition.",""
"271","JF","活動","B2","やりとり","共同作業中にやりとりをする","仕事と職業","Can compare the design, layout, etc. of posters and clearly state the good points, impression on the viewer, etc. when considering suggestions of posters for an event.",""
"272","JF","活動","B2","やりとり","共同作業中にやりとりをする","仕事と職業","Can persuade teachers of different levels, from different institutions and from a variety of regions to cooperate, in order to organise a conference for Japanese language teachers.",""
"273","JF","活動","B2","やりとり","共同作業中にやりとりをする","人との関係","Can persuade one's friends, coworkers, etc. to cooperate in organizing a volunteer group to go on duty at a shelter or other sites in times of disaster such as earthquakes or floods.",""
"274","JF","活動","B1","やりとり","共同作業中にやりとりをする","自由時間と娯楽","Can explain the theme and contents of a poster to an acquaintance and ask him/her to check the Japanese, in order to produce a poster in Japanese to promote an event at work.",""
"275","JF","まるごと","活動","B1","やりとり","共同作業中にやりとりをする","友人と料理を作るために、手順の詳細について確認や指示をしたり、受けたりすることができる。",""
"276","JF","活動","B1","やりとり","共同作業中にやりとりをする","自然と環境","Can make confirmations and give or take directions to one another about details of the task in order to work with other group members at, for example, a hands-on workshop to learn about separating trash.",""
"277","JF","活動","B1","やりとり","共同作業中にやりとりをする","学校と教育","Can ask an acquaintance to help with an audio recording by explaining the procedure and contents of the recording, in order to produce Japanese language teaching materials.",""
"278","JF","活動","B1","やりとり","共同作業中にやりとりをする","言語と文化","Can make confirmations and give or take directions to one another about details of the task in order to prepare for an event, such as a school festival, with classmates.",""
"279","JF","活動","B1","やりとり","共同作業中にやりとりをする","言語と文化","Can request a teacher's participation in an event by informing him/her of the terms, such as what the work involves and how much he/she will be paid, in order to organise, for example, a tea ceremony demonstration at an event such as a Japanese festival.",""
"503","JF","まるごと","活動","A2","やりとり","共同作業中にやりとりをする","友人と外出中に、街の案内をするために、その場所に行ったことがあるか、関心があるかなどの簡単な情報を質問したり、質問に答えたりすることができる。",""
"504","JF","まるごと","活動","A2","やりとり","共同作業中にやりとりをする","友人と外出中に、次に何をしたいかについて、「ちょっとお土産を買いたいんですが」など、短い簡単な言葉で希望を伝えたり、伝えられたときに対応したりすることができる。",""
"505","JF","まるごと","活動","A2","やりとり","共同作業中にやりとりをする","職場への出張者を迎えるために、訪問の日程や送迎などについて、短い簡単な言葉で確認や指示をしたり、受けたりすることができる。",""
"506","JF","まるごと","活動","A2","やりとり","共同作業中にやりとりをする","日本祭りなどのイベントで、知り合いに、盆踊りなど、日本の出し物の指導をしてもらうために、短い簡単な言葉で事情を伝えて頼むことができる。",""
"550","JF","まるごと","活動","A2","やりとり","共同作業中にやりとりをする","旅行先などで火事やひったくりなどの予期しないトラブルに巻きこまれたとき、短い簡単な言葉で助けを求めたり、求められたときに対応したりすることができる。",""
"507","JF","まるごと","活動","A2","やりとり","共同作業中にやりとりをする","友人と肩こりなどに効く体操をするために、動作や図で示しながら、短い簡単な言葉で確認や指示をしたり、受けたりすることができる。",""
"281","JF","まるごと","活動","A2","やりとり","共同作業中にやりとりをする","友人と料理を作るために、短い簡単な言葉で確認や指示をしたり、受けたりすることができる。",""
"508","JF","まるごと","活動","A2","やりとり","共同作業中にやりとりをする","友人とピクニックなどの準備をするために、だれが何を持っていくかなど、短い簡単な言葉で確認や指示をしたり、受けたりすることができる。",""
"282","JF","活動","A2","やりとり","共同作業中にやりとりをする","自然と環境","Can make confirmations and give or take directions in simple terms in order to work with other group members at, for example, a hands-on workshop to learn about separating trash.",""
"509","JF","まるごと","活動","A2","やりとり","共同作業中にやりとりをする","職場などで、電気の消し忘れや紙の無駄遣いなど、同僚の不適切な行動を短い簡単な言葉で注意したり、注意されたときに対応したりすることができる。",""
"283","JF","活動","A2","やりとり","共同作業中にやりとりをする","言語と文化","Can make confirmations and give or take directions in simple terms in order to prepare for an event, such as a school festival, with classmates.",""
"510","JF","まるごと","活動","A2","やりとり","共同作業中にやりとりをする","出張先のオフィスなどで使いたいものや借りたいものがあるとき、短い簡単な言葉で借りてもいいか質問したり、質問に対応したりすることができる。",""
"284","JF","まるごと","活動","A1","やりとり","共同作業中にやりとりをする","来客前に部屋を片づけるのを手伝うとき、物をどこにしまうか、友人に短い簡単な言葉でたずね、簡単な指示を聞いて対応することができる。",""
"285","JF","活動","A1","やりとり","共同作業中にやりとりをする","生活と人生","Can say in short, simple terms such as ""please help me"" ""I need help"" when one needs help from others when moving something heavy, for example, or respond to such requests if the speech is slow and clear.",""
"286","JF","活動","A1","やりとり","共同作業中にやりとりをする","仕事と職業","Can ask for in short, simple terms, and, if the speech is slow and clear, listen to and understand very simple instructions on specific and basic office work at one's workplace, such as making copies.",""
"287","JF","活動","A1","やりとり","共同作業中にやりとりをする","仕事と職業","Can point and ask someone in short simple terms such as ""Is it OK if I borrow this?"" and ""Could you lend me this?"" when one wants to use or borrow something in an office one is visiting on a business trip.",""
"288","JF","活動","A1","やりとり","共同作業中にやりとりをする","仕事と職業","Can give instructions in short simple terms such as ""Could you come here a moment?"" and ""Can you look at this?"", and respond to instructions one is given if spoken to slowly and clearly, while working in a factory or office.",""
"289","JF","活動","A1","やりとり","共同作業中にやりとりをする","買い物","Can ask for in short, simple terms, and, if the speech is slow and clear, listen to and understand very simple instructions about where to put the food one had just bought.",""
"290","JF","活動","A1","やりとり","共同作業中にやりとりをする","食生活","Can check in short, simple terms with a friend preparing a party what to buy and how many, when asked to go grocery shopping.",""
"291","JF","活動","A1","やりとり","共同作業中にやりとりをする","食生活","Can listen to and understand very simple instructions such as ""cut this way"" from a friend one is cooking with, if the friend demonstrates and talks slowly and clearly, and check with phrases such as ""is this okay?""",""
"292","JF","活動","A1","やりとり","共同作業中にやりとりをする","食生活","Can ask in short, simple terms ""pass the soy sauce"" ""can I have seconds"" at the dinner table, or respond to such requests if the speech is slow and clear.",""
"293","JF","活動","A1","やりとり","共同作業中にやりとりをする","学校と教育","Can give students simple instructions, as a teacher, such as ""Could you look at the textbook?"" and ""Can you say the answer?"" in, for example, a lesson.",""
"294","JF","活動","B2","やりとり","店や公共機関でやりとりをする","住まいと住環境","Can confirm details with the person in charge about conditions for moving in, for example, and negotiate while stating alternatives, concessions, etc. about unsatisfying points such as discriminatory qualifications for moving in, when searching for housing at a real estate agency.",""
"295","JF","活動","B2","やりとり","店や公共機関でやりとりをする","生活と人生","Can accurately explain what has happened since you sent a letter or parcel that has not arrived yet and request appropriate action at a post office enquiries counter.",""
"296","JF","活動","B2","やりとり","店や公共機関でやりとりをする","仕事と職業","Can explain to a customer, using expressions appropriate to the situation, about the circumstances, compensation, etc. when there is damage, loss or some other accident involving the customers' laundry for at a workplace such as a cleaner's.",""
"297","JF","活動","B2","やりとり","店や公共機関でやりとりをする","旅行と交通","Can explain in detail the condition of one's baggage before and after check-in for a flight, and engage in a disucssion to sovle the problem by clarifying where the responsibility lies, requesting ficial compensation, etc. when the baggage is lost, damaged, etc.",""
"298","JF","活動","B2","やりとり","店や公共機関でやりとりをする","旅行と交通","Can listen to and understand the details of a number of plans, and discuss these while clearly stating one's wishes and requirements, when booking a tour at a travel agency.",""
"299","JF","活動","B2","やりとり","店や公共機関でやりとりをする","旅行と交通","Can negotiate by indicating how one has been affected and stating alternative plans and compromises, at a travel agency counter when a flight one is scheduled to take is cancelled.",""
"300","JF","活動","B2","やりとり","店や公共機関でやりとりをする","買い物","Can listen to and understand a detailed explanation about the advantages, disadvantages, etc. of multiple services, and engage in a discussion while articulately communicating one's wishes and conditions, when applying for a housing loan, for example, at a bank or other ficial institution.",""
"301","JF","活動","B2","やりとり","店や公共機関でやりとりをする","学校と教育","Can accurately explain the situation to the person in charge and negotiate so that one is allowed to have credits approved in another way later on, at a university counter when one cannot take an exam in a compulsory subject due to unavoidable circumstances.",""
"302","JF","活動","B1","やりとり","店や公共機関でやりとりをする","仕事と職業","Can understand a customer's complaints and apologize or take other immediate appropriate action when a problem, such as a wrong order at a restaurant where one works, occurs.",""
"303","JF","活動","B1","やりとり","店や公共機関でやりとりをする","仕事と職業","Can listen to and understand a customer's complaint and deal with it immediately and appropriately, for example, by apologising, when a problem occurs such as lost hand baggage, at an airport counter.",""
"304","JF","活動","B1","やりとり","店や公共機関でやりとりをする","旅行と交通","Can explain in some detail to someone in charge when reserving a ticket with an airline about, for example, food one cannot eat due to health concerns, and ask for a special in-flight meal.",""
"305","JF","まるごと","活動","B1","やりとり","店や公共機関でやりとりをする","旅行中、盗難などの問題が生じたとき、警察や大使館などに、盗まれたものやその状況などについて簡単に説明し、相談することができる。",""
"306","JF","活動","B1","やりとり","店や公共機関でやりとりをする","旅行と交通","Can explain that the car navigation system in the car that one borrowed is old and caused difficulties during one's trip, and make a complaint at the counter of a car rental company.",""
"307","JF","活動","B1","やりとり","店や公共機関でやりとりをする","旅行と交通","Can listen to and understand a customer's complaint and deal with it immediately, for example, by apologising as the person in charge, when one receives a report that a problem has ocurred with a car during its rental period at a car rental company counter.",""
"308","JF","まるごと","活動","B1","やりとり","店や公共機関でやりとりをする","ホテルや旅館などでスタッフに、事情や希望をある程度詳しく説明し、サービスの提供や変更を依頼することができる。",""
"309","JF","活動","B1","やりとり","店や公共機関でやりとりをする","買い物","Can explain in some detail and make a complaint to someone in charge at a department store, for example, about things one considerst to be problems, such as a clerk's attitudes towards customers.",""
"310","JF","活動","B1","やりとり","店や公共機関でやりとりをする","買い物","Can explain the grounds for a discount, such as comparisons with other shops, and negotiate the price with the store clerk at, for example, an electric appliance store.",""
"311","JF","活動","B1","やりとり","店や公共機関でやりとりをする","買い物","Can explain in simple terms to a clerk at, for example, a hardware store, about the defects of a product one just bought and request a refund or an exchange.",""
"312","JF","活動","B1","やりとり","店や公共機関でやりとりをする","買い物","Can explain one's preference and wishes to a store clerk about the design and functions of a product one wants, such as a cell phone, at an electric appliance store, etc.",""
"313","JF","活動","B1","やりとり","店や公共機関でやりとりをする","買い物","Can ask questions to a store clerk about, for example, basic ways to operate an electronic device, and understand detailed explanations by the clerk, though one may have to ask for repetition.",""
"314","JF","活動","B1","やりとり","店や公共機関でやりとりをする","買い物","Can ask questions to a storekeeper of a fresh produce store about the type of product, where it was grown, how to cook it, etc., and understand detailed explanations by the clerk when shopping at, for example, a market.",""
"315","JF","活動","B1","やりとり","店や公共機関でやりとりをする","買い物","Can contact the local consumer affairs center to explain in simple terms and consult with them about, for example, the content of a bill received and the means of collecting payment, when one is charged a fee for using a fee-based website one does not recall using.",""
"316","JF","活動","B1","やりとり","店や公共機関でやりとりをする","食生活","Can explain the situation in some detail and make a complaint to a store clerk when a problem, such as a wrong order at a restaurant, occurs.",""
"317","JF","活動","B1","やりとり","店や公共機関でやりとりをする","学校と教育","Can understand what the person in charge at the university office points out when a problem, such as a mistake in the paperwork one has submitted, occurs, and ask questions or make confirmations about the problem.",""
"318","JF","まるごと","活動","B1","やりとり","店や公共機関でやりとりをする","スポーツクラブやカルチャースクールの入会を検討するために、担当者に授業の内容や進め方などについて質問し、聞き返すこともあるが、ある程度詳細な説明を理解することができる。",""
"319","JF","活動","A2","やりとり","店や公共機関でやりとりをする","生活と人生","Can ask questions and understand some simple replies about where, on what day, and at what time community Japanese lessons take place, and how much they cost, at a counter in the town hall.",""
"320","JF","活動","A2","やりとり","店や公共機関でやりとりをする","仕事と職業","Can take simple orders from customers for food, drink, or other things at one's workplace such as a restaurant.",""
"511","JF","まるごと","活動","A2","やりとり","店や公共機関でやりとりをする","テーマパークの案内所で、係員にイベントの時間や場所などについて質問し、いくつかの簡単な答えを理解することができる。",""
"512","JF","まるごと","活動","A2","やりとり","店や公共機関でやりとりをする","コンサートや講演会の開演時間などに遅れたとき、係員に、中に入ることができるかや今のプログラムなどについて質問し、いくつかの簡単な答えを理解することができる。",""
"551","JF","まるごと","活動","A2","やりとり","店や公共機関でやりとりをする","企業の受付などで、約束がある相手に取り次いでもらえるかなどについて質問し、いくつかの簡単な答えを理解することができる。",""
"321","JF","活動","A2","やりとり","店や公共機関でやりとりをする","旅行と交通","Can order or choose from a menu in short simple terms a meal or other things from an attendant in, for example, an airplane or train.",""
"322","JF","まるごと","活動","A2","やりとり","店や公共機関でやりとりをする","駅で駅員に、目的地への行き方や電車の乗り方などについて質問し、いくつかの簡単な答えを理解することができる。",""
"323","JF","活動","A2","やりとり","店や公共機関でやりとりをする","旅行と交通","Can call a store and ask questions about, for example, directions or landmarks, and understand a few simple answers.",""
"324","JF","活動","A2","やりとり","店や公共機関でやりとりをする","旅行と交通","Can ask questions to staff about where one can connect to the internet, how much it costs, etc. and understand a few simple replies at an airport information counter.",""
"513","JF","まるごと","活動","A2","やりとり","店や公共機関でやりとりをする","ホテルのフロントなどで、ツアーを紹介してもらうために、興味がある活動や、行きたい観光地名を言うことができる。",""
"325","JF","活動","A2","やりとり","店や公共機関でやりとりをする","買い物","Can ask questions to a clerk at a department store, for example, about where to find what you want to buy etc. and understand a few simple answers.",""
"326","JF","活動","A2","やりとり","店や公共機関でやりとりをする","買い物","Can ask questions to a clerk at a department store, for example, about whether they have the clothes displayed in the store in another color or size, for example, and understand a few simple answers.",""
"327","JF","活動","A2","やりとり","店や公共機関でやりとりをする","買い物","Can ask in short simple terms a clerk in an electric appliance store, for example, for delivery arrangements for a product one purchased.",""
"329","JF","活動","A2","やりとり","店や公共機関でやりとりをする","買い物","Can give the conditions and one's hopes to a storekeeper and negotiate a price at, for example, a fresh produce store in a market.",""
"328","JF","まるごと","活動","A2","やりとり","店や公共機関でやりとりをする","飲食店などで店員に、料理や飲み物などを短い簡単な言葉で注文することができる。",""
"330","JF","活動","A2","やりとり","店や公共機関でやりとりをする","学校と教育","Can ask questions in short simple terms to the person in charge at the university office about, for example, when and where papers should be submitted, and understand a few simple answers.",""
"331","JF","活動","A1","やりとり","店や公共機関でやりとりをする","自由時間と娯楽","Can say the name of the movie, the number of tickets, etc. in order to buy tickets at, for example, a ticket window of a movie theater.",""
"332","JF","まるごと","活動","A1","やりとり","店や公共機関でやりとりをする","ホテルや観光案内所などの職場で、客に目的地までの交通手段をたずねられたとき、地図やメモなどの視覚的な補助を利用しながら、簡単な言葉で答えることができる。",""
"333","JF","活動","A1","やりとり","店や公共機関でやりとりをする","旅行と交通","Can ask a station employee the price of a ticket to one's destination, and understand the answer, if the surroundings are not too noisy and the speech is slow and clear.",""
"334","JF","活動","A1","やりとり","店や公共機関でやりとりをする","旅行と交通","Can tell the taxi driver one's destination.",""
"335","JF","活動","A1","やりとり","店や公共機関でやりとりをする","旅行と交通","Can ask the bus driver if the bus will go to a certain bus stop, and understand the answer if the driver answers slowly, clearly, and simply.",""
"336","JF","まるごと","活動","A1","やりとり","店や公共機関でやりとりをする","タクシーの運転手に行き先が書かれたメモを見せて、行き先を伝えることができる。",""
"337","JF","まるごと","活動","A1","やりとり","店や公共機関でやりとりをする","タクシーの運転手に、行き先までどのくらいかかるか、短い簡単な言葉でたずね、ゆっくりとはっきりと話されれば、答えを理解することができる。",""
"338","JF","まるごと","活動","A1","やりとり","店や公共機関でやりとりをする","タクシー代などを払うために、カードが使えるかどうかをたずね、ゆっくりとはっきりと話されれば、答えを理解することができる。",""
"339","JF","まるごと","活動","A1","やりとり","店や公共機関でやりとりをする","タクシーの運転手に、降りたい場所を「ここでいいです」など、短い簡単な言葉で伝えることができる。",""
"340","JF","まるごと","活動","A1","やりとり","店や公共機関でやりとりをする","ホテルのフロントなどで、地図やメモなどの視覚的な補助を利用しながら、目的地までの交通手段を、短い簡単な言葉でたずね、ゆっくりとはっきりと話されれば、答えを理解することができる。",""
"341","JF","活動","A1","やりとり","店や公共機関でやりとりをする","旅行と交通","Can ask in short simple terms whether there is anyone available who speaks a language one understands, such as one's mother tongue, and listen to and understand the reply in order to complete a transaction at a public institution one is visiting.",""
"342","JF","活動","A1","やりとり","店や公共機関でやりとりをする","買い物","Can ask at the information center of a department store which floor the product one wants is sold on, and understand the answer if the speech is slow and clear.",""
"343","JF","活動","A1","やりとり","店や公共機関でやりとりをする","買い物","Can tell the store clerk of a store, market, etc. the name of the fruit or vegetable one wants and how many when shopping.",""
"344","JF","活動","A1","やりとり","店や公共機関でやりとりをする","買い物","Can call to a store clerk with expressions such as ""excuse me"" at a store, restaurant, etc.",""
"345","JF","まるごと","活動","A1","やりとり","店や公共機関でやりとりをする","店員に、「着てみてもいいですか」などの覚えた表現を使って、試着できるかたずね、ゆっくりとはっきりと話されれば、答えを理解することができる。",""
"346","JF","活動","A1","やりとり","店や公共機関でやりとりをする","買い物","Can reply in short simple terms when asked what type of medicine one would like, what size box one would like, etc. by a chemist in a chemist's shop.",""
"347","JF","まるごと","活動","A1","やりとり","店や公共機関でやりとりをする","飲食店で、サンプルやメニューの写真を指差ししながら、料理や飲み物を、「これをください」など簡単な言葉で注文することができる。",""
"348","JF","まるごと","活動","A1","やりとり","店や公共機関でやりとりをする","飲食店に入ったとき、人数と喫煙席か禁煙席かの希望を店員に言うことができる。",""
"349","JF","活動","A1","やりとり","店や公共機関でやりとりをする","食生活","Can reply when asked one's name, time of booking, etc. by a waiter at the entrance to a restaurant.",""
"350","JF","活動","A1","やりとり","店や公共機関でやりとりをする","食生活","Can express one's wishes in short simple terms when asked by a waiter in a restaurant whether one would like a drink before or after the meal.",""
"351","JF","活動","B2","やりとり","情報交換する","生活と人生","Can accurately tell family and friends while distinguishing fact and speculation about, for example, the information one hears on the way home from someone who happened to be at the site of an accident or another incident.",""
"352","JF","活動","B2","やりとり","情報交換する","仕事と職業","Can give articulate, detailed explanations and answer questions from one's replacement, someone who just joined one's workplace, etc. about, for example, detailed work procedures, tricks for handling things efficiently, and points of note.",""
